X	Y	E 
2.0	104.0	0.23728383494237607 
2.0	106.0	0.3432815147537929 
2.0	108.0	0.2748806759391421 
2.0	110.0	0.31847470197406114 
2.0	112.0	0.2088138546350577 
2.0	114.0	0.2980167555891815 
2.0	116.0	0.3149564524808684 
2.0	118.0	1.6117148206198513 
2.0	120.0	3.559603793841797 
2.0	122.0	2.732828123895157 
2.0	124.0	2.4415837767704036 
2.0	126.0	3.2187554375716356 
2.0	128.0	2.94201163690653 
2.0	130.0	2.1517614875463553 
2.0	132.0	1.0643119597998398 
2.0	134.0	0.2804801066129341 
2.0	136.0	0.17573496219997148 
2.0	138.0	0.21929564297750037 
2.0	140.0	0.33261612023030485 
2.0	142.0	0.2673081414830444 
2.0	144.0	0.8142341408179917 
2.0	146.0	4.462345796102704 
2.0	148.0	2.134113997362084 
2.0	150.0	2.684795112500286 
2.0	152.0	2.8613373917212246 
2.0	154.0	2.2355102488260936 
2.0	156.0	1.7464273676806943 
2.0	158.0	2.354532028700031 
2.0	160.0	0.0 
2.0	162.0	3.4395297617782044 
2.0	164.0	4.375 
2.0	166.0	2.767397920649978 
2.0	168.0	3.9154836182027433 
2.0	170.0	1.3228755014016573 
2.0	172.0	0.7807511427573017 
2.0	174.0	0.49737194878917196 
2.0	176.0	0.5971372662799008 
2.0	178.0	0.4920533321238511 
2.0	180.0	0.47656855277284116 
2.0	182.0	0.3348496386813129 
2.0	184.0	0.3955439684166349 
2.0	186.0	0.16480719977231373 
2.0	188.0	0.12221377896685176 
2.0	190.0	0.17616145313544257 
2.0	192.0	0.0 
4.0	0.0	0.0 
4.0	2.0	2.119147524715894 
4.0	4.0	0.9515225447425683 
4.0	6.0	1.5330733191074861 
4.0	8.0	0.0 
4.0	10.0	2.083678899423009 
4.0	12.0	0.0 
4.0	14.0	0.7972360641625604 
4.0	16.0	0.4068896931202689 
4.0	18.0	0.33571311575548324 
4.0	20.0	0.5007018214139024 
4.0	22.0	0.6432808401501142 
4.0	24.0	1.588316010874849 
4.0	26.0	3.9045504428550455 
4.0	28.0	3.464846283943363 
4.0	30.0	2.217856982190328 
4.0	32.0	1.269425583604892 
4.0	34.0	0.796628222796303 
4.0	36.0	0.7884635537182656 
4.0	38.0	0.4473831226378144 
4.0	40.0	0.4211248493649654 
4.0	42.0	0.5857334030489333 
4.0	44.0	0.32699780182264726 
4.0	46.0	0.29191453044908816 
4.0	48.0	0.286289642174318 
4.0	50.0	0.2250905909903014 
4.0	52.0	0.2633245767328335 
4.0	54.0	0.4612214609543543 
4.0	56.0	1.5250107178691787 
4.0	58.0	2.0848323658663164 
4.0	60.0	0.0 
4.0	62.0	0.9137893964096043 
4.0	64.0	2.1360924962100496 
4.0	66.0	4.375 
4.0	68.0	2.1150906704608547 
4.0	70.0	1.4969163111824881 
4.0	72.0	3.8498467012963586 
4.0	74.0	3.380418859278872 
4.0	76.0	2.6921562561632277 
4.0	78.0	2.8058150178556205 
4.0	80.0	4.184036608001476 
4.0	82.0	3.2755997814721747 
4.0	84.0	2.808259952399602 
4.0	86.0	1.2303771847692426 
