Phi1	Phi	Phi2	X	Y
0.51866	2.58508	4.68926	176	4
0.51545	2.58083	4.69039	178	4
0.51855	2.57876	4.68623	180	4
0.51531	2.58359	4.68811	182	4
0.51101	2.5829	4.68696	184	4
0.51453	2.5812	4.69258	186	4
0.5155	2.58192	4.69078	188	4
0.52033	2.58306	4.69996	190	4
0.51932	2.58025	4.69811	192	4
2.68589	2.10473	5.87916	0	6
2.68818	2.10274	5.87853	2	6
2.68592	2.10553	5.8777	4	6
2.68056	2.10931	5.86863	6	6
5.61901	1.55634	3.01713	8	6
1.60588	1.93321	3.48949	10	6
1.61125	1.93979	3.48837	12	6
1.61038	1.93357	3.48823	14	6
1.6156	1.93406	3.48725	16	6
1.61129	1.93422	3.48564	18	6
1.61606	1.93492	3.48816	20	6
1.61523	1.93214	3.48853	22	6
6.1978	1.89351	4.3305	24	6
6.19849	1.89582	4.33164	26	6
5.69293	1.15138	1.20754	28	6
5.695	1.14503	1.21438	30	6
5.69603	1.14486	1.21452	32	6
5.7005	1.14837	1.21198	34	6
5.69984	1.14843	1.21182	36	6
5.69527	1.14773	1.21445	38	6
5.69726	1.1468	1.21364	40	6
5.6924	1.14482	1.2148	42	6
0.82855	1.89274	4.26333	44	6
4.73648	0.84179	2.67608	46	6
1.60366	2.28927	2.04364	48	6
1.59426	2.29418	2.03371	50	6
1.5957	2.29408	2.03206	52	6
1.60676	2.28656	2.04406	54	6
1.61423	2.28499	2.04652	56	6
1.60127	2.29143	2.04139	58	6
1.60696	2.28852	2.04825	60	6
1.60522	2.28658	2.04641	62	6
1.59824	2.29157	2.03633	64	6
1.59675	2.28995	2.03559	66	6
1.60798	2.28725	2.04381	68	6
1.60562	2.29013	2.03709	70	6
1.86955	1.39804	3.02841	72	6
0.28563	1.45675	1.73987	74	6
0.28187	1.45199	1.73609	76	6
0.28584	1.45469	1.73999	78	6
0.28609	1.45299	1.7393	80	6
0.28961	1.45231	1.73805	82	6
0.28506	1.45598	1.73798	84	6
0.28217	1.4493	1.73536	86	6
0.27943	1.46178	1.74005	88	6
2.92779	1.28786	2.84156	90	6
2.93042	1.28678	2.8354	92	6
2.92855	1.28633	2.83512	94	6
2.92782	1.28657	2.83541	96	6
2.92845	1.28699	2.83584	98	6
2.93184	1.28734	2.83532	100	6
2.92805	1.28544	2.83443	102	6
2.93024	1.28794	2.83612	104	6
2.93228	1.28665	2.83433	106	6
4.41792	1.86442	5.99601	108	6
4.30752	2.60736	0.15071	110	6
4.13375	1.04079	1.66015	112	6
4.14003	1.03742	1.6547	114	6
4.13887	1.03831	1.65575	116	6
4.13009	0.96922	5.20343	118	6
4.13419	0.96288	2.05662	120	6
4.14093	0.96606	2.06009	122	6
4.14221	0.95868	2.05979	124	6
4.14466	0.95596	2.05716	126	6
4.14609	0.9479	2.05663	128	6
4.14462	0.9493	2.061	130	6
4.14273	0.95024	2.06235	132	6
4.14321	0.95033	2.06141	134	6
5.68391	1.2809	4.70966	136	6
0.98234	1.57278	1.28819	138	6
0.98234	1.57213	1.28822	140	6
2.55743	1.8476	0.00801	142	6
2.54248	0.28098	3.1524	144	6
1.06614	0.63777	0.74499	146	6
1.94228	2.01898	3.6206	148	6
1.93315	2.02415	3.60949	150	6
1.92081	2.02327	3.6052	152	6
1.92884	2.02601	3.61249	154	6
1.92372	2.02355	3.61461	156	6
1.91923	2.01837	3.61879	158	6
0.51626	2.58281	4.69071	160	6
0.51746	2.58527	4.69478	162	6
0.51723	2.58415	4.69312	164	6
0.51719	2.58403	4.69317	166	6
0.51564	2.58203	4.69214	168	6
0.51496	2.58227	4.68762	170	6
0.51448	2.58258	4.69002	172	6
0.51537	2.57962	4.6891	174	6
0.51184	2.58188	4.68746	176	6
