X	Y	theta 
2.0	106.0	0.1945128801770163 
2.0	108.0	0.15766082157391115 
2.0	110.0	0.18764553888347377 
2.0	112.0	0.16432012667104434 
2.0	114.0	0.17919896760338477 
2.0	116.0	0.1848531259101661 
2.0	118.0	8.369281943538438 
2.0	120.0	21.76894179367753 
2.0	122.0	15.692314595559138 
2.0	124.0	16.273339521102912 
2.0	126.0	22.739996703734853 
2.0	128.0	22.115516230447643 
2.0	130.0	16.92614515948332 
2.0	132.0	5.874618186264127 
2.0	134.0	0.19436206161720634 
2.0	136.0	0.11339662498744649 
2.0	138.0	0.134244693656577 
2.0	140.0	0.19964089770103352 
2.0	142.0	0.15844371031932378 
2.0	144.0	4.161980321337503 
2.0	146.0	28.3724404197765 
2.0	148.0	12.275203098612964 
2.0	150.0	16.243225024742113 
2.0	152.0	16.34525569701798 
2.0	154.0	12.275657445962313 
2.0	156.0	8.356654698016659 
2.0	158.0	14.021296564556962 
2.0	160.0	0.0 
2.0	162.0	25.87939136188753 
2.0	164.0	23.1820036106421 
2.0	166.0	15.651069079994954 
2.0	168.0	26.77030703365347 
2.0	170.0	8.95207002339211 
2.0	172.0	4.526858510553442 
2.0	174.0	0.32694131698819984 
2.0	176.0	0.3955485141088982 
2.0	178.0	0.3259246784902366 
2.0	180.0	0.30020223638393295 
2.0	182.0	0.22331868159981946 
2.0	184.0	0.25022715133515994 
2.0	186.0	0.12367816013473776 
2.0	188.0	0.10923254449396542 
2.0	190.0	0.12477122395434564 
2.0	192.0	0.0 
4.0	0.0	0.0 
4.0	2.0	17.438164270017836 
4.0	4.0	7.424977437996065 
4.0	6.0	12.156276735416496 
4.0	8.0	0.0 
4.0	10.0	14.99382011666262 
4.0	12.0	0.0 
4.0	14.0	5.112443069561151 
4.0	16.0	0.2576735612042839 
4.0	18.0	0.23571483073359692 
4.0	20.0	0.3260058648136854 
4.0	22.0	0.43363789979816925 
4.0	24.0	12.521550934628559 
4.0	26.0	33.51662050464298 
4.0	28.0	20.23680557991843 
4.0	30.0	10.389556387415903 
4.0	32.0	3.8809480791825366 
4.0	34.0	0.581996263729575 
4.0	36.0	0.5557358417768475 
4.0	38.0	0.30179448287369015 
4.0	40.0	0.2525708474269638 
4.0	42.0	0.37645331995836284 
4.0	44.0	0.20743748118059593 
4.0	46.0	0.18320445635478158 
4.0	48.0	0.16493259764607282 
4.0	50.0	0.13493960226106083 
4.0	52.0	0.17408342946644095 
4.0	54.0	0.282393253323857 
4.0	56.0	11.402248290498855 
4.0	58.0	17.025128019095273 
4.0	60.0	0.0 
4.0	62.0	3.800937679252811 
4.0	64.0	11.098630794641325 
4.0	66.0	25.41187247303706 
4.0	68.0	11.11778779324614 
4.0	70.0	7.475209446742098 
4.0	72.0	21.86889144517296 
4.0	74.0	19.179645543960966 
4.0	76.0	12.012939193558907 
4.0	78.0	6.9956066153002965 
4.0	80.0	9.371790819515615 
4.0	82.0	8.44485178021913 
4.0	84.0	11.028391558826765 
4.0	86.0	2.840480666973624 
4.0	88.0	5.46747005589093 
4.0	90.0	10.476395226764732 
